Council,SiteID,Site,Indicator,Date,RawValue,Symbol,Value,Region
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-01-31T00:00:00Z,430,NA,430,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-02-28T00:00:00Z,350,NA,350,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-03-21T00:00:00Z,410,NA,410,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-05-03T00:00:00Z,390,NA,390,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-05-23T00:00:00Z,230,NA,230,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-06-26T00:00:00Z,65,NA,65,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-07-25T00:00:00Z,30,NA,30,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-08-22T00:00:00Z,30,NA,30,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-09-26T00:00:00Z,510,NA,510,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-10-25T00:00:00Z,240,NA,240,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-11-29T00:00:00Z,295,NA,295,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2006-12-19T00:00:00Z,600,NA,600,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-01-29T00:00:00Z,14100,NA,14100,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-02-07T00:00:00Z,20,NA,20,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-02-26T00:00:00Z,1300,NA,1300,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-03-27T00:00:00Z,290,NA,290,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-04-23T00:00:00Z,790,NA,790,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-05-22T00:00:00Z,1150,NA,1150,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-06-26T00:00:00Z,275,NA,275,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-07-18T00:00:00Z,185,NA,185,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-08-22T00:00:00Z,50,NA,50,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-09-19T00:00:00Z,160,NA,160,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-10-25T00:00:00Z,365,NA,365,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2007-11-21T00:00:00Z,325,NA,325,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-01-23T00:00:00Z,240,NA,240,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-02-21T00:00:00Z,175,NA,175,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-03-19T00:00:00Z,720,NA,720,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-04-16T00:00:00Z,2600,NA,2600,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-05-21T00:00:00Z,544,NA,544,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-06-18T00:00:00Z,1203,NA,1203,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-07-10T00:00:00Z,89,NA,89,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-08-13T00:00:00Z,210,NA,210,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-09-09T00:00:00Z,228,NA,228,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-10-29T00:00:00Z,1723,NA,1723,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-11-25T00:00:00Z,538,NA,538,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2008-12-15T00:00:00Z,2382,NA,2382,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-01-26T00:00:00Z,2247,NA,2247,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-02-24T00:00:00Z,784,NA,784,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-03-30T00:00:00Z,1211,NA,1211,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-04-14T00:00:00Z,1296,NA,1296,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-05-26T00:00:00Z,1354,NA,1354,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-06-23T00:00:00Z,213,NA,213,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-07-19T00:00:00Z,173,NA,173,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-08-17T00:00:00Z,650,NA,650,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-09-21T00:00:00Z,517,NA,517,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-10-19T00:00:00Z,488,NA,488,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-11-10T00:00:00Z,435,NA,435,manawatu-whanganui
HRC,00001,arawhata drain at hokio beach road,ECOLI,2009-11-29T00:00:00Z,1203,NA,1203,manawatu-whanganui
