Area,Age,Sex,Year at 30 June,Value,Flags
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","1996",1841300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","1997",1863700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","1998",1877800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","1999",1884900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2000",1893800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2001",1903200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2002",1936500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2003",1975600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2004",2003800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2005",2025200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2006",2048300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2007",2066400,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2008",2083400,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2009",2104700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2010",2127700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2011",2143600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2012",2155000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2013",2172200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2014",2215700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2015",2270100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2016",2328500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2017",2382700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2018",2430200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2019",2471100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2020",2524900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","1996",1890700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","1997",1917700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","1998",1937200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","1999",1950200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2000",1964000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2001",1977300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2002",2012000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2003",2051700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2004",2083800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2005",2108700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2006",2136200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2007",2157300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2008",2176300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2009",2197900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2010",2222900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2011",2240400,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2012",2253100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2013",2269900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2014",2300800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2015",2339300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2016",2385600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2017",2430900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2018",2470500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2019",2508200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2020",2559400,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","1996",3732000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","1997",3781300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","1998",3815000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","1999",3835100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2000",3857700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2001",3880500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2002",3948500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2003",4027200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2004",4087500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2005",4133900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2006",4184600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2007",4223800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2008",4259800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2009",4302600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2010",4350700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2011",4384000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2012",4408100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2013",4442100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2014",4516500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2015",4609400,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2016",4714100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2017",4813600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2018",4900600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2019",4979300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2020",5084300,
"Northland","Total people, age","Male","1996",70000,
"Northland","Total people, age","Male","1997",70600,
"Northland","Total people, age","Male","1998",71000,
"Northland","Total people, age","Male","1999",71100,
"Northland","Total people, age","Male","2000",71300,
"Northland","Total people, age","Male","2001",71200,
"Northland","Total people, age","Male","2002",72000,
"Northland","Total people, age","Male","2003",72900,
"Northland","Total people, age","Male","2004",73700,
"Northland","Total people, age","Male","2005",74300,
"Northland","Total people, age","Male","2006",75100,
"Northland","Total people, age","Male","2007",75900,
"Northland","Total people, age","Male","2008",76700,
"Northland","Total people, age","Male","2009",77500,
"Northland","Total people, age","Male","2010",78700,
"Northland","Total people, age","Male","2011",79500,
"Northland","Total people, age","Male","2012",79900,
"Northland","Total people, age","Male","2013",80600,
"Northland","Total people, age","Male","2014",82500,
"Northland","Total people, age","Male","2015",84800,
"Northland","Total people, age","Male","2016",87300,
"Northland","Total people, age","Male","2017",90000,
"Northland","Total people, age","Male","2018",92400,
"Northland","Total people, age","Male","2019",94500,
"Northland","Total people, age","Male","2020",97000,
"Northland","Total people, age","Female","1996",70700,
"Northland","Total people, age","Female","1997",71500,
"Northland","Total people, age","Female","1998",72300,
"Northland","Total people, age","Female","1999",72700,
"Northland","Total people, age","Female","2000",73100,
"Northland","Total people, age","Female","2001",73200,
"Northland","Total people, age","Female","2002",74000,
"Northland","Total people, age","Female","2003",74900,
"Northland","Total people, age","Female","2004",75800,
"Northland","Total people, age","Female","2005",76600,
"Northland","Total people, age","Female","2006",77600,
"Northland","Total people, age","Female","2007",78700,
"Northland","Total people, age","Female","2008",79700,
"Northland","Total people, age","Female","2009",80700,
"Northland","Total people, age","Female","2010",81900,
"Northland","Total people, age","Female","2011",82900,
"Northland","Total people, age","Female","2012",83500,
"Northland","Total people, age","Female","2013",84200,
"Northland","Total people, age","Female","2014",85600,
"Northland","Total people, age","Female","2015",87200,
"Northland","Total people, age","Female","2016",89100,
"Northland","Total people, age","Female","2017",91300,
"Northland","Total people, age","Female","2018",93400,
"Northland","Total people, age","Female","2019",95100,
"Northland","Total people, age","Female","2020",97600,
"Northland","Total people, age","Total people, sex","1996",140700,
"Northland","Total people, age","Total people, sex","1997",142100,
"Northland","Total people, age","Total people, sex","1998",143300,
"Northland","Total people, age","Total people, sex","1999",143800,
"Northland","Total people, age","Total people, sex","2000",144400,
"Northland","Total people, age","Total people, sex","2001",144400,
"Northland","Total people, age","Total people, sex","2002",146000,
"Northland","Total people, age","Total people, sex","2003",147900,
"Northland","Total people, age","Total people, sex","2004",149400,
"Northland","Total people, age","Total people, sex","2005",151000,
"Northland","Total people, age","Total people, sex","2006",152700,
"Northland","Total people, age","Total people, sex","2007",154600,
