DHB,Year,Month,Count
Northland,2015,January,23
Northland,2015,February,16
Northland,2015,March,16
Northland,2015,April,8
Northland,2015,May,11
Northland,2015,June,12
Northland,2015,July,24
Northland,2015,August,27
Northland,2015,September,26
Northland,2015,October,26
Northland,2015,November,26
Northland,2015,December,41
Waitemata,2015,January,84
Waitemata,2015,February,55
Waitemata,2015,March,35
Waitemata,2015,April,40
Waitemata,2015,May,56
Waitemata,2015,June,64
Waitemata,2015,July,60
Waitemata,2015,August,47
Waitemata,2015,September,72
Waitemata,2015,October,77
Waitemata,2015,November,134
Waitemata,2015,December,95
Auckland,2015,January,63
Auckland,2015,February,43
Auckland,2015,March,38
Auckland,2015,April,23
Auckland,2015,May,31
Auckland,2015,June,38
Auckland,2015,July,39
Auckland,2015,August,38
Auckland,2015,September,53
Auckland,2015,October,43
Auckland,2015,November,68
Auckland,2015,December,55
Counties Manukau,2015,January,58
Counties Manukau,2015,February,35
Counties Manukau,2015,March,31
Counties Manukau,2015,April,25
Counties Manukau,2015,May,33
Counties Manukau,2015,June,26
Counties Manukau,2015,July,36
Counties Manukau,2015,August,32
Counties Manukau,2015,September,39
Counties Manukau,2015,October,38
Counties Manukau,2015,November,70
Counties Manukau,2015,December,67
Waikato,2015,January,59
Waikato,2015,February,31
Waikato,2015,March,33
Waikato,2015,April,30
Waikato,2015,May,25
Waikato,2015,June,34
Waikato,2015,July,42
Waikato,2015,August,76
Waikato,2015,September,73
Waikato,2015,October,58
Waikato,2015,November,74
Waikato,2015,December,64
Lakes,2015,January,15
Lakes,2015,February,9
Lakes,2015,March,15
Lakes,2015,April,11
Lakes,2015,May,8
Lakes,2015,June,12
Lakes,2015,July,5
Lakes,2015,August,20
Lakes,2015,September,11
Lakes,2015,October,26
Lakes,2015,November,17
Lakes,2015,December,15
Bay of Plenty,2015,January,30
Bay of Plenty,2015,February,26
Bay of Plenty,2015,March,25
Bay of Plenty,2015,April,15
Bay of Plenty,2015,May,10
Bay of Plenty,2015,June,15
Bay of Plenty,2015,July,12
Bay of Plenty,2015,August,16
Bay of Plenty,2015,September,21
Bay of Plenty,2015,October,23
Bay of Plenty,2015,November,21
Bay of Plenty,2015,December,30
Tairawhiti,2015,January,6
Tairawhiti,2015,February,1
Tairawhiti,2015,March,3
Tairawhiti,2015,April,1
Tairawhiti,2015,May,3
Tairawhiti,2015,June,4
Tairawhiti,2015,July,5
Tairawhiti,2015,August,5
Tairawhiti,2015,September,4
Tairawhiti,2015,October,4
Tairawhiti,2015,November,8
Tairawhiti,2015,December,7
Taranaki,2015,January,23
Taranaki,2015,February,13
Taranaki,2015,March,21
Taranaki,2015,April,15
Taranaki,2015,May,8
Taranaki,2015,June,11
Taranaki,2015,July,12
Taranaki,2015,August,23
Taranaki,2015,September,14
Taranaki,2015,October,30
