Year,DHB,Month,Count
1997,Waitemata,January,148
1997,Waitemata,February,86
1997,Waitemata,March,122
1997,Waitemata,April,86
1997,Waitemata,May,54
1997,Waitemata,June,42
1997,Waitemata,July,71
1997,Waitemata,August,47
1997,Waitemata,September,64
1997,Waitemata,October,100
1997,Waitemata,November,114
1997,Waitemata,December,138
1998,Waitemata,January,109
1998,Waitemata,February,88
1998,Waitemata,March,134
1998,Waitemata,April,90
1998,Waitemata,May,129
1998,Waitemata,June,95
1998,Waitemata,July,115
1998,Waitemata,August,115
1998,Waitemata,September,87
1998,Waitemata,October,106
1998,Waitemata,November,130
1998,Waitemata,December,165
1999,Waitemata,January,75
1999,Waitemata,February,62
1999,Waitemata,March,67
1999,Waitemata,April,62
1999,Waitemata,May,65
1999,Waitemata,June,80
1999,Waitemata,July,77
1999,Waitemata,August,91
1999,Waitemata,September,63
1999,Waitemata,October,69
1999,Waitemata,November,113
1999,Waitemata,December,101
2000,Waitemata,January,91
2000,Waitemata,February,105
2000,Waitemata,March,61
2000,Waitemata,April,38
2000,Waitemata,May,44
2000,Waitemata,June,41
2000,Waitemata,July,51
2000,Waitemata,August,65
2000,Waitemata,September,88
2000,Waitemata,October,88
2000,Waitemata,November,99
2000,Waitemata,December,88
2001,Waitemata,January,117
2001,Waitemata,February,65
2001,Waitemata,March,72
2001,Waitemata,April,68
2001,Waitemata,May,73
2001,Waitemata,June,57
2001,Waitemata,July,74
2001,Waitemata,August,125
2001,Waitemata,September,83
2001,Waitemata,October,140
2001,Waitemata,November,185
2001,Waitemata,December,186
2002,Waitemata,January,195
2002,Waitemata,February,128
2002,Waitemata,March,142
2002,Waitemata,April,67
2002,Waitemata,May,125
2002,Waitemata,June,164
2002,Waitemata,July,161
2002,Waitemata,August,180
2002,Waitemata,September,157
2002,Waitemata,October,175
2002,Waitemata,November,136
2002,Waitemata,December,170
2003,Waitemata,January,190
2003,Waitemata,February,141
2003,Waitemata,March,144
2003,Waitemata,April,116
2003,Waitemata,May,103
2003,Waitemata,June,114
2003,Waitemata,July,148
2003,Waitemata,August,155
2003,Waitemata,September,129
2003,Waitemata,October,150
2003,Waitemata,November,204
2003,Waitemata,December,173
2004,Waitemata,January,168
2004,Waitemata,February,137
2004,Waitemata,March,133
2004,Waitemata,April,80
2004,Waitemata,May,83
2004,Waitemata,June,115
2004,Waitemata,July,97
2004,Waitemata,August,134
2004,Waitemata,September,162
2004,Waitemata,October,122
2004,Waitemata,November,199
2004,Waitemata,December,200
2005,Waitemata,January,158
2005,Waitemata,February,157
2005,Waitemata,March,81
2005,Waitemata,April,94
2005,Waitemata,May,101
2005,Waitemata,June,79
2005,Waitemata,July,121
2005,Waitemata,August,142
2005,Waitemata,September,159
2005,Waitemata,October,167
2005,Waitemata,November,197
2005,Waitemata,December,214
