DHB,Month,Year,Time,Population
Auckland,January,1997,1997.0833333333333,373282.87777634227
Auckland,February,1997,1997.1666666666667,373828.7852303039
Auckland,March,1997,1997.25,374340.20194352325
Auckland,April,1997,1997.3333333333333,374819.6074976434
Auckland,May,1997,1997.4166666666667,375269.48147430684
Auckland,June,1997,1997.5,375692.3034551525
Auckland,July,1997,1997.5833333333333,376090.55302182306
Auckland,August,1997,1997.6666666666667,376466.7097559609
Auckland,September,1997,1997.75,376823.25323920546
Auckland,October,1997,1997.8333333333333,377162.66305319907
Auckland,November,1997,1997.9166666666667,377487.41877958406
Auckland,December,1997,1998,377800
Auckland,January,1998,1998.0833333333333,378102.65253978316
Auckland,February,1998,1998.1666666666667,378396.6871990451
Auckland,March,1998,1998.25,378683.1810215891
Auckland,April,1998,1998.3333333333333,378963.21105122066
Auckland,May,1998,1998.4166666666667,379237.8543317453
Auckland,June,1998,1998.5,379508.1879069663
Auckland,July,1998,1998.5833333333333,379775.2888206892
Auckland,August,1998,1998.6666666666667,380040.2341167194
Auckland,September,1998,1998.75,380304.1008388603
Auckland,October,1998,1998.8333333333333,380567.9660309175
Auckland,November,1998,1998.9166666666667,380832.90673669626
Auckland,December,1998,1999,381100
Auckland,January,1999,1999.0833333333333,381369.99586081965
Auckland,February,1999,1999.1666666666667,381642.33634388784
Auckland,March,1999,1999.25,381916.1364701204
Auckland,April,1999,1999.3333333333333,382190.51126043533
Auckland,May,1999,1999.4166666666667,382464.5757357507
Auckland,June,1999,1999.5,382737.4449169824
Auckland,July,1999,1999.5833333333333,383008.2338250483
Auckland,August,1999,1999.6666666666667,383276.0574808666
Auckland,September,1999,1999.75,383540.03090535314
Auckland,October,1999,1999.8333333333333,383799.2691194259
Auckland,November,1999,1999.9166666666667,384052.8871440029
Auckland,December,1999,2000,384300
Auckland,January,2000,2000.0833333333333,384541.0908687886
Auckland,February,2000,2000.1666666666667,384782.1155735531
Auckland,March,2000,2000.25,385030.39809792937
Auckland,April,2000,2000.3333333333333,385293.2624255551
Auckland,May,2000,2000.4166666666667,385578.0325400682
Auckland,June,2000,2000.5,385892.0324251043
Auckland,July,2000,2000.5833333333333,386242.5860643012
Auckland,August,2000,2000.6666666666667,386637.0174412971
Auckland,September,2000,2000.75,387082.65053972707
Auckland,October,2000,2000.8333333333333,387586.80934322916
Auckland,November,2000,2000.9166666666667,388156.81783544214
Auckland,December,2000,2001,388800
Auckland,January,2001,2001.0833333333333,389521.4855714316
Auckland,February,2001,2001.1666666666667,390317.62728782755
Auckland,March,2001,2001.25,391182.58363816224
Auckland,April,2001,2001.3333333333333,392110.51311141637
Auckland,May,2001,2001.4166666666667,393095.57419657137
Auckland,June,2001,2001.5,394131.9253826005
Auckland,July,2001,2001.5833333333333,395213.7251584851
Auckland,August,2001,2001.6666666666667,396335.13201320695
Auckland,September,2001,2001.75,397490.30443573854
Auckland,October,2001,2001.8333333333333,398673.4009150616
Auckland,November,2001,2001.9166666666667,399878.57994015806
Auckland,December,2001,2002,401100
Auckland,January,2002,2002.0833333333333,402331.41591955506
Auckland,February,2002,2002.1666666666667,403564.9678677337
Auckland,March,2002,2002.25,404792.3923494218
Auckland,April,2002,2002.3333333333333,406005.42586951546
Auckland,May,2002,2002.4166666666667,407195.8049329107
Auckland,June,2002,2002.5,408355.2660444937
Auckland,July,2002,2002.5833333333333,409475.5457091604
Auckland,August,2002,2002.6666666666667,410548.3804318065
Auckland,September,2002,2002.75,411565.5067173187
Auckland,October,2002,2002.8333333333333,412518.66107059293
Auckland,November,2002,2002.9166666666667,413399.57999652403
Auckland,December,2002,2003,414200
Auckland,January,2003,2003.0833333333333,414914.4248244164
Auckland,February,2003,2003.1666666666667,415548.42716716946
Auckland,March,2003,2003.25,416110.34696415067
Auckland,April,2003,2003.3333333333333,416608.52415125683
Auckland,May,2003,2003.4166666666667,417051.298664384
Auckland,June,2003,2003.5,417447.0104394248
Auckland,July,2003,2003.5833333333333,417803.9994122753
Auckland,August,2003,2003.6666666666667,418130.60551883146
Auckland,September,2003,2003.75,418435.16869498644
Auckland,October,2003,2003.8333333333333,418726.0288766361
Auckland,November,2003,2003.9166666666667,419011.52599967615
Auckland,December,2003,2004,419300
Auckland,January,2004,2004.0833333333333,419598.3269124051
Auckland,February,2004,2004.1666666666667,419907.5271672958
Auckland,March,2004,2004.25,420227.1572939756
Auckland,April,2004,2004.3333333333333,420556.7738217505
Auckland,May,2004,2004.4166666666667,420895.9332799266
Auckland,June,2004,2004.5,421244.1921978073
Auckland,July,2004,2004.5833333333333,421601.1071046987
Auckland,August,2004,2004.6666666666667,421966.23452990706
Auckland,September,2004,2004.75,422339.1310027354
Auckland,October,2004,2004.8333333333333,422719.35305249004
Auckland,November,2004,2004.9166666666667,423106.45720847725
Auckland,December,2004,2005,423500
Auckland,January,2005,2005.0833333333333,423899.38558151666
Auckland,February,2005,2005.1666666666667,424303.4086080939
Auckland,March,2005,2005.25,424710.71135994705
Auckland,April,2005,2005.3333333333333,425119.9361172949
Auckland,May,2005,2005.4166666666667,425529.725160356
Auckland,June,2005,2005.5,425938.72076934593
Auckland,July,2005,2005.5833333333333,426345.5652244833
Auckland,August,2005,2005.6666666666667,426748.9008059868
Auckland,September,2005,2005.75,427147.3697940719
Auckland,October,2005,2005.8333333333333,427539.6144689572
Auckland,November,2005,2005.9166666666667,427924.2771108614
Auckland,December,2005,2006,428300
Auckland,January,2006,2006.0833333333333,428665.7627059706
Auckland,February,2006,2006.1666666666667,429021.8939558863
Auckland,March,2006,2006.25,429369.0597662362
Auckland,April,2006,2006.3333333333333,429707.92615351244
Auckland,May,2006,2006.4166666666667,430039.1591342069
Auckland,June,2006,2006.5,430363.4247248089
Auckland,July,2006,2006.5833333333333,430681.3889418104
Auckland,August,2006,2006.6666666666667,430993.7178017034
Auckland,September,2006,2006.75,431301.0773209772
Auckland,October,2006,2006.8333333333333,431604.13351612363
Auckland,November,2006,2006.9166666666667,431903.5524036348
Auckland,December,2006,2007,432200
Auckland,January,2007,2007.0833333333333,432494.276557562
Auckland,February,2007,2007.1666666666667,432787.7192720666
Auckland,March,2007,2007.25,433081.7995751081
Auckland,April,2007,2007.3333333333333,433377.98889828316
Auckland,May,2007,2007.4166666666667,433677.75867318857
Auckland,June,2007,2007.5,433982.58033141843
