Month Northland Waitemata Auckland "Counties Manukau" Waikato Lakes "Bay of Plenty" Tairawhiti Taranaki "Hawke's Bay" Whanganui MidCentral "Hutt Valley" "Capital and Coast" Wairarapa "Nelson Marlborough" "West Coast" Canterbury "South Canterbury" Southern
January 23 67 47 49 64 14 32 9 17 22 8 24 15 47 3 26 3 109 12 72
February 19 59 38 43 43 17 19 2 24 24 8 24 15 34 5 15 3 59 10 97
March 10 29 48 35 30 15 9 3 12 13 6 22 17 26 3 18 4 54 16 66
April 17 44 29 26 23 8 19 3 11 16 7 16 9 22 3 14 2 38 7 58
May 10 47 44 35 27 12 8 5 10 22 8 23 10 30 13 19 2 50 12 43
June 10 45 40 23 27 9 18 2 7 20 7 14 16 29 3 9 1 49 5 35
July 17 61 43 29 37 9 15 6 9 28 4 15 13 15 7 14 3 64 5 47
August 35 75 50 41 66 16 20 3 28 13 7 19 3 26 4 16 7 74 10 56
September 28 77 35 31 76 14 21 3 32 18 12 25 6 16 5 18 10 82 15 68
October 26 69 46 44 69 22 25 8 25 27 9 34 10 27 9 24 12 102 20 79
November 33 112 59 62 57 13 24 6 23 39 7 32 18 38 13 25 8 100 20 106
December 26 80 54 49 43 10 19 3 28 28 9 23 20 36 11 18 6 85 15 74

