DHB,Population,Date,Dose,Number,Total
Northland,161320,2021-10-22,1,429,124581
Northland,161320,2021-10-22,2,671,98596
Waitematā,526087,2021-10-22,1,1449,472845
Waitematā,526087,2021-10-22,2,6061,393932
Auckland,423958,2021-10-22,1,954,393369
Auckland,423958,2021-10-22,2,4319,337329
Counties Manukau,482773,2021-10-22,1,1516,420059
Counties Manukau,482773,2021-10-22,2,4329,347137
Waikato,357176,2021-10-22,1,1216,302169
Waikato,357176,2021-10-22,2,2497,241318
Lakes,94419,2021-10-22,1,338,73975
Lakes,94419,2021-10-22,2,695,57433
Bay of Plenty,216941,2021-10-22,1,683,176124
Bay of Plenty,216941,2021-10-22,2,1864,133220
Tairāwhiti,41965,2021-10-22,1,161,31756
Tairāwhiti,41965,2021-10-22,2,171,25265
Taranaki,102147,2021-10-22,1,432,83776
Taranaki,102147,2021-10-22,2,835,62349
Hawke's Bay,145571,2021-10-22,1,72,120053
Hawke's Bay,145571,2021-10-22,2,87,97596
MidCentral,152302,2021-10-22,1,407,128334
MidCentral,152302,2021-10-22,2,952,103512
Whanganui,57247,2021-10-22,1,121,44985
Whanganui,57247,2021-10-22,2,265,37155
Capital and Coast,271174,2021-10-22,1,546,246756
Capital and Coast,271174,2021-10-22,2,2305,203157
Hutt Valley,130239,2021-10-22,1,280,112335
Hutt Valley,130239,2021-10-22,2,1253,89431
Wairarapa,41427,2021-10-22,1,179,34631
Wairarapa,41427,2021-10-22,2,320,28309
Nelson Marlborough,135743,2021-10-22,1,351,114814
Nelson Marlborough,135743,2021-10-22,2,541,98763
West Coast,27906,2021-10-22,1,104,21893
West Coast,27906,2021-10-22,2,140,17447
Canterbury,482890,2021-10-22,1,1479,424841
Canterbury,482890,2021-10-22,2,4373,315638
South Canterbury,52584,2021-10-22,1,157,44119
South Canterbury,52584,2021-10-22,2,354,36547
Southern,288015,2021-10-22,1,656,252587
Southern,288015,2021-10-22,2,1634,210004
Northland,161320,2021-10-23,1,529,125110
Northland,161320,2021-10-23,2,646,99242
Waitematā,526087,2021-10-23,1,1392,474237
Waitematā,526087,2021-10-23,2,5339,399271
Auckland,423958,2021-10-23,1,987,394356
Auckland,423958,2021-10-23,2,3649,340978
Counties Manukau,482773,2021-10-23,1,2014,422073
Counties Manukau,482773,2021-10-23,2,5109,352246
Waikato,357176,2021-10-23,1,1043,303212
Waikato,357176,2021-10-23,2,1630,242948
Lakes,94419,2021-10-23,1,266,74241
Lakes,94419,2021-10-23,2,614,58047
Bay of Plenty,216941,2021-10-23,1,537,176661
Bay of Plenty,216941,2021-10-23,2,1437,134657
Tairāwhiti,41965,2021-10-23,1,126,31882
Tairāwhiti,41965,2021-10-23,2,143,25408
Taranaki,102147,2021-10-23,1,266,84042
Taranaki,102147,2021-10-23,2,461,62810
Hawke's Bay,145571,2021-10-23,1,206,120259
Hawke's Bay,145571,2021-10-23,2,295,97891
MidCentral,152302,2021-10-23,1,415,128749
MidCentral,152302,2021-10-23,2,759,104271
Whanganui,57247,2021-10-23,1,166,45151
Whanganui,57247,2021-10-23,2,224,37379
Capital and Coast,271174,2021-10-23,1,457,247213
Capital and Coast,271174,2021-10-23,2,1946,205103
Hutt Valley,130239,2021-10-23,1,353,112688
Hutt Valley,130239,2021-10-23,2,917,90348
Wairarapa,41427,2021-10-23,1,146,34777
Wairarapa,41427,2021-10-23,2,303,28612
Nelson Marlborough,135743,2021-10-23,1,460,115274
Nelson Marlborough,135743,2021-10-23,2,530,99293
West Coast,27906,2021-10-23,1,3,21896
West Coast,27906,2021-10-23,2,12,17459
Canterbury,482890,2021-10-23,1,1870,426711
Canterbury,482890,2021-10-23,2,5067,320705
South Canterbury,52584,2021-10-23,1,118,44237
South Canterbury,52584,2021-10-23,2,250,36797
Southern,288015,2021-10-23,1,549,253136
Southern,288015,2021-10-23,2,1429,211433
Northland,161320,2021-10-24,1,256,125366
Northland,161320,2021-10-24,2,148,99390
Waitematā,526087,2021-10-24,1,639,474876
Waitematā,526087,2021-10-24,2,2721,401992
Auckland,423958,2021-10-24,1,419,394775
Auckland,423958,2021-10-24,2,1668,342646
Counties Manukau,482773,2021-10-24,1,695,422768
Counties Manukau,482773,2021-10-24,2,1850,354096
Waikato,357176,2021-10-24,1,357,303569
Waikato,357176,2021-10-24,2,636,243584
Lakes,94419,2021-10-24,1,98,74339
Lakes,94419,2021-10-24,2,79,58126
Bay of Plenty,216941,2021-10-24,1,312,176973
Bay of Plenty,216941,2021-10-24,2,1038,135695
Tairāwhiti,41965,2021-10-24,1,52,31934
Tairāwhiti,41965,2021-10-24,2,42,25450
Taranaki,102147,2021-10-24,1,171,84213
Taranaki,102147,2021-10-24,2,260,63070
Hawke's Bay,145571,2021-10-24,1,306,120565
Hawke's Bay,145571,2021-10-24,2,276,98167
MidCentral,152302,2021-10-24,1,189,128938
MidCentral,152302,2021-10-24,2,494,104765
Whanganui,57247,2021-10-24,1,94,45245
Whanganui,57247,2021-10-24,2,52,37431
Capital and Coast,271174,2021-10-24,1,148,247361
Capital and Coast,271174,2021-10-24,2,711,205814
Hutt Valley,130239,2021-10-24,1,188,112876
Hutt Valley,130239,2021-10-24,2,610,90958
Wairarapa,41427,2021-10-24,1,20,34797
Wairarapa,41427,2021-10-24,2,16,28628
Nelson Marlborough,135743,2021-10-24,1,233,115507
Nelson Marlborough,135743,2021-10-24,2,209,99502
West Coast,27906,2021-10-24,1,10,21906
West Coast,27906,2021-10-24,2,5,17464
Canterbury,482890,2021-10-24,1,845,427556
Canterbury,482890,2021-10-24,2,2070,322775
South Canterbury,52584,2021-10-24,1,57,44294
South Canterbury,52584,2021-10-24,2,143,36940
Southern,288015,2021-10-24,1,325,253461
Southern,288015,2021-10-24,2,651,212084
Northland,161320,2021-10-25,1,183,125549
Northland,161320,2021-10-25,2,135,99525
Waitematā,526087,2021-10-25,1,412,475288
Waitematā,526087,2021-10-25,2,1233,403225
Auckland,423958,2021-10-25,1,295,395070
Auckland,423958,2021-10-25,2,985,343631
Counties Manukau,482773,2021-10-25,1,708,423476
Counties Manukau,482773,2021-10-25,2,1323,355419
Waikato,357176,2021-10-25,1,313,303882
Waikato,357176,2021-10-25,2,406,243990
Lakes,94419,2021-10-25,1,39,74378
Lakes,94419,2021-10-25,2,50,58176
Bay of Plenty,216941,2021-10-25,1,224,177197
Bay of Plenty,216941,2021-10-25,2,754,136449
Tairāwhiti,41965,2021-10-25,1,58,31992
Tairāwhiti,41965,2021-10-25,2,86,25536
Taranaki,102147,2021-10-25,1,105,84318
Taranaki,102147,2021-10-25,2,213,63283
Hawke's Bay,145571,2021-10-25,1,111,120676
Hawke's Bay,145571,2021-10-25,2,108,98275
MidCentral,152302,2021-10-25,1,147,129085
MidCentral,152302,2021-10-25,2,124,104889
Whanganui,57247,2021-10-25,1,36,45281
Whanganui,57247,2021-10-25,2,23,37454
Capital and Coast,271174,2021-10-25,1,91,247452
Capital and Coast,271174,2021-10-25,2,207,206021
Hutt Valley,130239,2021-10-25,1,84,112960
Hutt Valley,130239,2021-10-25,2,170,91128
Wairarapa,41427,2021-10-25,1,20,34817
Wairarapa,41427,2021-10-25,2,28,28656
Nelson Marlborough,135743,2021-10-25,1,213,115720
Nelson Marlborough,135743,2021-10-25,2,226,99728
West Coast,27906,2021-10-25,1,5,21911
West Coast,27906,2021-10-25,2,7,17471
Canterbury,482890,2021-10-25,1,392,427948
Canterbury,482890,2021-10-25,2,923,323698
South Canterbury,52584,2021-10-25,1,-1,44293
South Canterbury,52584,2021-10-25,2,2,36942
Southern,288015,2021-10-25,1,97,253558
Southern,288015,2021-10-25,2,217,212301
Northland,161320,2021-10-26,1,564,126113
Northland,161320,2021-10-26,2,880,100405
Waitematā,526087,2021-10-26,1,1030,476318
Waitematā,526087,2021-10-26,2,4007,407232
Auckland,423958,2021-10-26,1,701,395771
Auckland,423958,2021-10-26,2,2902,346533
Counties Manukau,482773,2021-10-26,1,1116,424592
Counties Manukau,482773,2021-10-26,2,2867,358286
Waikato,357176,2021-10-26,1,1246,305128
Waikato,357176,2021-10-26,2,2427,246417
Lakes,94419,2021-10-26,1,330,74708
Lakes,94419,2021-10-26,2,729,58905
Bay of Plenty,216941,2021-10-26,1,655,177852
Bay of Plenty,216941,2021-10-26,2,2114,138563
Tairāwhiti,41965,2021-10-26,1,123,32115
Tairāwhiti,41965,2021-10-26,2,178,25714
Taranaki,102147,2021-10-26,1,302,84620
Taranaki,102147,2021-10-26,2,708,63991
Hawke's Bay,145571,2021-10-26,1,322,120998
Hawke's Bay,145571,2021-10-26,2,875,99150
MidCentral,152302,2021-10-26,1,404,129489
MidCentral,152302,2021-10-26,2,1065,105954
Whanganui,57247,2021-10-26,1,156,45437
Whanganui,57247,2021-10-26,2,255,37709
Capital and Coast,271174,2021-10-26,1,517,247969
Capital and Coast,271174,2021-10-26,2,2605,208626
Hutt Valley,130239,2021-10-26,1,286,113246
Hutt Valley,130239,2021-10-26,2,1006,92134
Wairarapa,41427,2021-10-26,1,124,34941
Wairarapa,41427,2021-10-26,2,290,28946
Nelson Marlborough,135743,2021-10-26,1,438,116158
Nelson Marlborough,135743,2021-10-26,2,724,100452
West Coast,27906,2021-10-26,1,209,22120
West Coast,27906,2021-10-26,2,262,17733
Canterbury,482890,2021-10-26,1,1566,429514
Canterbury,482890,2021-10-26,2,4997,328695
South Canterbury,52584,2021-10-26,1,148,44441
South Canterbury,52584,2021-10-26,2,314,37256
Southern,288015,2021-10-26,1,856,254414
Southern,288015,2021-10-26,2,2222,214523
Northland,161320,2021-10-27,1,467,126580
Northland,161320,2021-10-27,2,989,101394
Waitematā,526087,2021-10-27,1,827,477145
Waitematā,526087,2021-10-27,2,3245,410477
Auckland,423958,2021-10-27,1,654,396425
Auckland,423958,2021-10-27,2,2447,348980
Counties Manukau,482773,2021-10-27,1,1204,425796
Counties Manukau,482773,2021-10-27,2,2539,360825
Waikato,357176,2021-10-27,1,1233,306361
Waikato,357176,2021-10-27,2,2326,248743
Lakes,94419,2021-10-27,1,308,75016
Lakes,94419,2021-10-27,2,658,59563
Bay of Plenty,216941,2021-10-27,1,566,178418
Bay of Plenty,216941,2021-10-27,2,1698,140261
Tairāwhiti,41965,2021-10-27,1,179,32294
Tairāwhiti,41965,2021-10-27,2,220,25934
Taranaki,102147,2021-10-27,1,375,84995
Taranaki,102147,2021-10-27,2,708,64699
Hawke's Bay,145571,2021-10-27,1,409,121407
Hawke's Bay,145571,2021-10-27,2,944,100094
MidCentral,152302,2021-10-27,1,512,130001
MidCentral,152302,2021-10-27,2,1079,107033
Whanganui,57247,2021-10-27,1,158,45595
Whanganui,57247,2021-10-27,2,185,37894
Capital and Coast,271174,2021-10-27,1,456,248425
Capital and Coast,271174,2021-10-27,2,2305,210931
Hutt Valley,130239,2021-10-27,1,332,113578
Hutt Valley,130239,2021-10-27,2,1117,93251
Wairarapa,41427,2021-10-27,1,104,35045
Wairarapa,41427,2021-10-27,2,213,29159
Nelson Marlborough,135743,2021-10-27,1,443,116601
Nelson Marlborough,135743,2021-10-27,2,517,100969
West Coast,27906,2021-10-27,1,161,22281
West Coast,27906,2021-10-27,2,184,17917
Canterbury,482890,2021-10-27,1,1697,431211
Canterbury,482890,2021-10-27,2,4552,333247
South Canterbury,52584,2021-10-27,1,208,44649
South Canterbury,52584,2021-10-27,2,519,37775
Southern,288015,2021-10-27,1,941,255355
Southern,288015,2021-10-27,2,2238,216761
Northland,161320,2021-10-28,1,411,126991
Northland,161320,2021-10-28,2,872,102266
Waitematā,526087,2021-10-28,1,826,477971
Waitematā,526087,2021-10-28,2,3084,413561
Auckland,423958,2021-10-28,1,576,397001
Auckland,423958,2021-10-28,2,2381,351361
Counties Manukau,482773,2021-10-28,1,993,426789
Counties Manukau,482773,2021-10-28,2,2654,363479
Waikato,357176,2021-10-28,1,1172,307533
Waikato,357176,2021-10-28,2,2883,251626
Lakes,94419,2021-10-28,1,331,75347
Lakes,94419,2021-10-28,2,680,60243
Bay of Plenty,216941,2021-10-28,1,517,178935
Bay of Plenty,216941,2021-10-28,2,1539,141800
Tairāwhiti,41965,2021-10-28,1,198,32492
Tairāwhiti,41965,2021-10-28,2,212,26146
Taranaki,102147,2021-10-28,1,352,85347
Taranaki,102147,2021-10-28,2,755,65454
Hawke's Bay,145571,2021-10-28,1,558,121965
Hawke's Bay,145571,2021-10-28,2,917,101011
MidCentral,152302,2021-10-28,1,463,130464
MidCentral,152302,2021-10-28,2,857,107890
Whanganui,57247,2021-10-28,1,209,45804
Whanganui,57247,2021-10-28,2,475,38369
Capital and Coast,271174,2021-10-28,1,524,248949
Capital and Coast,271174,2021-10-28,2,2217,213148
Hutt Valley,130239,2021-10-28,1,373,113951
Hutt Valley,130239,2021-10-28,2,1189,94440
Wairarapa,41427,2021-10-28,1,110,35155
Wairarapa,41427,2021-10-28,2,221,29380
Nelson Marlborough,135743,2021-10-28,1,394,116995
Nelson Marlborough,135743,2021-10-28,2,558,101527
West Coast,27906,2021-10-28,1,130,22411
West Coast,27906,2021-10-28,2,205,18122
Canterbury,482890,2021-10-28,1,3363,434574
Canterbury,482890,2021-10-28,2,7560,340807
South Canterbury,52584,2021-10-28,1,252,44901
South Canterbury,52584,2021-10-28,2,436,38211
Southern,288015,2021-10-28,1,1247,256602
Southern,288015,2021-10-28,2,2480,219241
Northland,161320,2021-10-29,1,456,127447
Northland,161320,2021-10-29,2,734,103000
Waitematā,526087,2021-10-29,1,889,478860
Waitematā,526087,2021-10-29,2,4241,417802
Auckland,423958,2021-10-29,1,622,397623
Auckland,423958,2021-10-29,2,2890,354251
Counties Manukau,482773,2021-10-29,1,1046,427835
Counties Manukau,482773,2021-10-29,2,3254,366733
Waikato,357176,2021-10-29,1,1002,308535
Waikato,357176,2021-10-29,2,2881,254507
Lakes,94419,2021-10-29,1,294,75641
Lakes,94419,2021-10-29,2,773,61016
Bay of Plenty,216941,2021-10-29,1,616,179551
Bay of Plenty,216941,2021-10-29,2,2027,143827
Tairāwhiti,41965,2021-10-29,1,134,32626
Tairāwhiti,41965,2021-10-29,2,227,26373
Taranaki,102147,2021-10-29,1,311,85658
Taranaki,102147,2021-10-29,2,894,66348
Hawke's Bay,145571,2021-10-29,1,434,122399
Hawke's Bay,145571,2021-10-29,2,1170,102181
MidCentral,152302,2021-10-29,1,398,130862
MidCentral,152302,2021-10-29,2,940,108830
Whanganui,57247,2021-10-29,1,135,45939
Whanganui,57247,2021-10-29,2,237,38606
Capital and Coast,271174,2021-10-29,1,481,249430
Capital and Coast,271174,2021-10-29,2,1774,214922
Hutt Valley,130239,2021-10-29,1,228,114179
Hutt Valley,130239,2021-10-29,2,818,95258
Wairarapa,41427,2021-10-29,1,149,35304
Wairarapa,41427,2021-10-29,2,342,29722
Nelson Marlborough,135743,2021-10-29,1,343,117338
Nelson Marlborough,135743,2021-10-29,2,574,102101
West Coast,27906,2021-10-29,1,173,22584
West Coast,27906,2021-10-29,2,256,18378
Canterbury,482890,2021-10-29,1,2248,436822
Canterbury,482890,2021-10-29,2,5877,346684
South Canterbury,52584,2021-10-29,1,261,45162
South Canterbury,52584,2021-10-29,2,447,38658
Southern,288015,2021-10-29,1,1052,257654
Southern,288015,2021-10-29,2,1714,220955
Northland,161320,2021-10-30,1,243,127690
Northland,161320,2021-10-30,2,567,103567
Waitematā,526087,2021-10-30,1,742,479602
Waitematā,526087,2021-10-30,2,3824,421626
Auckland,423958,2021-10-30,1,643,398266
Auckland,423958,2021-10-30,2,2716,356967
