p_match,year,ground,country,inns,bat,team_bowl,ball,outcome,over,score,cur_bat_runs,wagonX,wagonY
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Lou Vincent,Zimbabwe,5,run,8,2,20,99,45
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Lou Vincent,Zimbabwe,1,four,12,4,24,142,-54
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Lou Vincent,Zimbabwe,6,four,2,4,4,-33,-153
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Lou Vincent,Zimbabwe,2,run,4,2,6,52,-1
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Lou Vincent,Zimbabwe,5,run,4,1,7,21,-60
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Lou Vincent,Zimbabwe,5,run,16,2,36,-119,-77
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Lou Vincent,Zimbabwe,1,run,14,1,25,-61,36
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Lou Vincent,Zimbabwe,2,four,16,4,30,-141,-78
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Lou Vincent,Zimbabwe,3,four,16,4,34,-149,-71
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,James Marshall,Zimbabwe,1,four,8,4,9,-124,-95
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,James Marshall,Zimbabwe,3,run,8,1,10,-54,40
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Hamish Marshall,Zimbabwe,1,run,10,2,9,122,50
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Hamish Marshall,Zimbabwe,2,four,10,4,13,-125,-101
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Stephen Fleming,Zimbabwe,1,four,25,4,27,97,130
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Stephen Fleming,Zimbabwe,4,four,25,4,31,-157,9
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Stephen Fleming,Zimbabwe,2,run,27,2,38,122,-52
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Stephen Fleming,Zimbabwe,3,four,27,4,42,149,55
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Stephen Fleming,Zimbabwe,3,four,14,4,8,111,-103
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Stephen Fleming,Zimbabwe,5,four,39,4,65,134,-69
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Nathan Astle,Zimbabwe,6,four,53,4,23,154,-38
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Nathan Astle,Zimbabwe,5,run,57,1,24,-67,41
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Nathan Astle,Zimbabwe,3,leg bye,59,1,24,44,21
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Nathan Astle,Zimbabwe,6,run,43,1,2,-50,44
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Nathan Astle,Zimbabwe,1,four,67,4,42,-159,42
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Nathan Astle,Zimbabwe,2,run,67,1,43,64,112
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Nathan Astle,Zimbabwe,6,four,69,4,49,17,-155
216055,2005,"Queens Sports Club, Bulawayo",Zimbabwe,2,Nathan Astle,Zimbabwe,1,run,71,1,50,-69,-6
