...1,p_match,inns,bat,p_bat,team_bat,bowl,p_bowl,team_bowl,ball,ball_id,outcome,score,out,dismissal,p_out,over,noball,wide,byes,legbyes,cur_bat_runs,cur_bat_bf,cur_bowl_ovr,cur_bowl_wkts,cur_bowl_runs,inns_runs,inns_wkts,inns_balls,trail_by,lead_by,day,session,target,date,year,ground,country,winner,toss,competition,bat_hand,bowl_style,bowl_kind,batruns,ballfaced,bowlruns,bat_out,wagonX,wagonY,wagonZone,line,length,shot,control,predscore,wprob
812743,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,5,18.05,run,2,FALSE,NA,50710,19,0,0,0,0,5,13,6.5,0,15,46,1,113,0,0,1,1,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,2,1,2,TRUE,-125,-29,6,NA,NA,LEG_GLANCE,0,-1,-1
812746,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,2,22.02,run,1,FALSE,NA,50710,23,0,0,0,0,7,21,8.2,1,16,55,2,134,0,0,1,1,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,1,1,1,TRUE,120,-42,3,NA,NA,OFF_SIDE_DRIVE_ON_FRONT_FOOT,1,-1,-1
812754,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,5,30.05,four,4,FALSE,NA,50710,31,0,0,0,0,20,51,10.5,1,22,80,2,185,0,0,1,2,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,4,1,4,TRUE,63,-154,4,NA,NA,OFF_SIDE_DRIVE_ON_FRONT_FOOT,1,-1,-1
812762,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,1,34.01,run,1,FALSE,NA,50710,35,0,0,0,0,24,62,12.1,1,23,89,2,205,0,0,1,2,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,1,1,1,TRUE,-110,-31,6,NA,NA,NO_SHOT,1,-1,-1
812763,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,3,52.03,run,1,FALSE,NA,50710,53,0,0,0,0,74,123,13.3,1,27,161,2,315,0,0,1,2,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,1,1,1,TRUE,-116,-65,6,NA,NA,LEG_GLANCE,1,-1,-1
812764,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,6,52.06,run,1,FALSE,NA,50710,53,0,0,0,0,75,124,14,1,29,163,2,318,0,0,1,2,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,1,1,1,TRUE,-142,0,6,NA,NA,LEG_GLANCE,1,-1,-1
812768,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,2,96.02,run,2,FALSE,NA,50710,97,0,0,0,0,167,260,21.2,1,59,332,5,578,0,0,2,1,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,2,1,2,TRUE,-134,-65,6,NA,NA,PULL_HOOK_ON_BACK_FOOT,1,-1,-1
812770,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,4,96.04,run,2,FALSE,NA,50710,97,0,0,0,0,169,262,21.4,1,61,334,5,580,0,0,2,1,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,2,1,2,TRUE,-147,-38,6,NA,NA,PULL_HOOK_ON_BACK_FOOT,1,-1,-1
812771,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,5,96.05,run,1,FALSE,NA,50710,97,0,0,0,0,170,263,21.5,1,62,335,5,581,0,0,2,1,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,1,1,1,TRUE,-125,62,7,NA,NA,PULL_HOOK_ON_BACK_FOOT,1,-1,-1
812773,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,2,84.02,four,4,FALSE,NA,50710,85,0,0,0,0,143,220,16.2,1,38,286,3,506,0,0,1,3,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,4,1,4,TRUE,-63,152,8,NA,NA,LEG_GLANCE,1,-1,-1
812774,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,3,84.03,run,1,FALSE,NA,50710,85,0,0,0,0,144,221,16.3,1,39,287,3,507,0,0,1,3,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,1,1,1,TRUE,129,-61,3,NA,NA,OFF_SIDE_DRIVE_ON_FRONT_FOOT,1,-1,-1
812778,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,4,86.04,run,2,FALSE,NA,50710,87,0,0,0,0,147,227,17.4,1,47,296,4,520,0,0,1,3,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,2,1,2,TRUE,-140,-39,6,NA,NA,LEG_GLANCE,1,-1,-1
812779,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,5,86.05,four,4,FALSE,NA,50710,87,0,0,0,0,151,228,17.5,1,51,300,4,521,0,0,1,3,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,4,1,4,TRUE,-153,-89,6,NA,NA,LEG_GLANCE,1,-1,-1
812791,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,3,88.03,four,4,FALSE,NA,50710,89,0,0,0,0,155,232,18.3,1,55,308,4,531,0,0,1,3,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,4,1,4,TRUE,109,-122,4,NA,NA,OFF_SIDE_DRIVE_ON_FRONT_FOOT,1,-1,-1
812794,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,6,88.06,run,1,FALSE,NA,50710,89,0,0,0,0,156,235,19,1,56,309,4,534,0,0,1,3,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,1,1,1,TRUE,166,-23,3,NA,NA,OFF_SIDE_DRIVE_ON_FRONT_FOOT,1,-1,-1
812795,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,1,128.01,run,1,FALSE,NA,50710,129,0,0,0,0,230,372,23.1,1,68,454,7,769,0,0,2,2,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,1,1,1,TRUE,-124,-26,6,NA,NA,LEG_GLANCE,1,-1,-1
812796,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,3,128.03,run,1,FALSE,NA,50710,129,0,0,0,0,231,373,23.3,1,72,458,7,771,0,0,2,2,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,1,1,1,TRUE,-89,-103,5,NA,NA,ON_SIDE_DRIVE_ON_FRONT_FOOT,1,-1,-1
812797,690349,1,Kumar Sangakkara,50710,Sri Lanka,Al-Amin Hossain,511532,Bangladesh,1,130.01,four,4,FALSE,NA,50710,131,0,0,0,0,238,379,24.1,1,76,467,7,781,0,0,2,2,0,2014-02-04,2014,"Zahur Ahmed Chowdhury Stadium, Chittagong",Bangladesh,-,Sri Lanka,NA,LHB,RMF,pace bowler,4,1,4,TRUE,-156,50,7,NA,NA,LEG_GLANCE,1,-1,-1
