theme_id,theme
1,Technic
2,Technic
3,Technic
4,Technic
5,Technic
6,Technic
7,Technic
8,Technic
9,Technic
10,Technic
11,Technic
12,Technic
13,Technic
14,Technic
15,Technic
16,Technic
17,Technic
18,Technic
19,Technic
20,Technic
21,Technic
22,Creator
23,Creator
24,Creator
25,Creator
26,Creator
27,Creator
28,Creator
29,Creator
30,Creator
31,Creator
32,Creator
33,Creator
34,Creator
35,Creator
37,Creator
38,Creator
39,Creator
40,Creator
42,Creator
43,Creator
44,Creator
45,Creator
46,Creator
48,Creator
49,Creator
50,Town
51,Town
52,Town
53,Town
54,Town
55,Town
56,Town
57,Town
58,Town
59,Town
60,Town
61,Town
62,Town
63,Town
64,Town
65,Town
66,Town
67,Town
68,Town
69,Town
70,Town
71,Town
72,Town
73,Town
74,Town
75,Town
76,Town
77,Town
78,Town
79,Town
80,Town
82,Town
83,Town
84,Town
85,Town
86,Town
87,Town
88,Town
89,Town
90,Town
91,Town
92,Town
93,Town
94,Town
95,Town
96,Town
97,Town
98,Town
99,Town
100,Town
101,Town
102,Town
103,Town
104,Town
105,Town
106,Town
107,Town
108,Town
111,Town
112,Racers
113,Racers
114,Racers
115,Racers
116,Racers
117,Racers
118,Racers
119,Racers
120,Racers
121,Racers
122,Racers
123,Racers
125,Racers
126,Space
127,Space
128,Space
129,Space
130,Space
131,Space
132,Space
133,Space
134,Space
135,Space
136,Space
137,Space
138,Space
139,Space
140,Space
141,Space
142,Space
143,Space
144,Space
145,Space
146,Space
147,Pirates
148,Pirates
149,Pirates
151,Pirates
152,Pirates
153,Pirates
154,Pirates
155,Modular Buildings
156,Modular Buildings
157,Modular Buildings
158,Star Wars
171,Star Wars
186,Castle
187,Castle
188,Castle
189,Castle
190,Castle
191,Castle
193,Castle
194,Castle
195,Castle
196,Castle
197,Castle
198,Castle
199,Castle
201,Castle
202,Castle
203,Castle
204,Designer Sets
205,Designer Sets
206,Seasonal
207,Seasonal
208,Seasonal
209,Seasonal
210,Seasonal
211,Seasonal
212,Seasonal
213,Seasonal
214,Seasonal
215,Seasonal
216,Seasonal
227,Seasonal
228,Seasonal
229,Seasonal
230,Seasonal
231,Seasonal
232,Seasonal
233,Train
234,Train
235,Train
236,Train
237,Train
238,Train
239,Train
240,Train
241,Train
242,Train
243,Train
244,Train
245,Train
246,Harry Potter
252,Architecture
253,Architecture
254,Bulk Bricks
255,Bulk Bricks
256,Bulk Bricks
257,Bulk Bricks
258,Mindstorms
259,Mindstorms
260,Mindstorms
261,Mindstorms
262,Mindstorms
263,Pirates of the Caribbean
264,Indiana Jones
269,Cars
270,Ben 10
271,Prince of Persia
272,SpongeBob SquarePants
273,Studios
274,Studios
275,Toy Story
276,Sculptures
277,Sculptures
278,Model Team
279,4 Juniors
280,4 Juniors
287,4 Juniors
296,Adventurers
297,Adventurers
298,Adventurers
299,Adventurers
300,Adventurers
301,Other
302,Agents
303,Agents
304,Alpha Team
305,Alpha Team
306,Alpha Team
307,Aquazone
308,Aquazone
309,Aquazone
310,Aquazone
311,Aquazone
312,Aquazone
313,Aquazone
315,Atlantis
317,Avatar
318,Belville
319,Belville
320,Belville
321,Belville
322,Belville
323,Belville
324,Bionicle
325,Bionicle
326,Bionicle
327,Bionicle
328,Bionicle
329,Bionicle
330,Bionicle
331,Bionicle
332,Bionicle
333,Bionicle
334,Bionicle
335,Bionicle
336,Bionicle
337,Bionicle
338,Bionicle
339,Bionicle
340,Bionicle
341,Bionicle
342,Bionicle
343,Bionicle
344,Bionicle
345,Bionicle
346,Bionicle
347,Bionicle
348,Bionicle
349,Bionicle
350,Bionicle
351,Bionicle
352,Bionicle
353,Bionicle
354,Bionicle
355,Bionicle
356,Bionicle
357,Bionicle
358,Bionicle
359,Bionicle
360,Bionicle
361,Bionicle
362,Bionicle
363,Boat
364,Building Set with People
365,System
366,System
367,System
368,System
369,System
370,System
371,System
372,System
373,System
374,System
375,System
376,System
377,System
378,System
379,System
380,System
381,System
382,System
383,System
384,Dino 2010
385,Dino Attack
386,Dinosaurs
387,Discovery
388,Disney's Mickey Mouse
389,Exo-Force
390,Fabuland
397,Factory
398,FIRST LEGO League
399,Freestyle
400,Hero Factory
401,Hero Factory
402,Hero Factory
403,Hero Factory
404,Hobby Sets
405,Homemaker
406,Inventor
407,Island Xtreme Stunts
408,LEGO Brand Store
409,LEGO Brand Store
410,LEGO Brand Store
411,Legoland
412,Legoland
413,Legoland
414,Legoland
415,Legoland
416,Legoland
417,Legoland
418,Legoland
419,Legoland
420,Legoland
421,Legoland
422,Legoland
423,Legoland
424,Legoland
425,Legoland Parks
426,Legoland Parks
427,Legoland Parks
430,Legoland Parks
432,Master Building Academy
433,Minitalia
434,Ninja
435,Ninjago
436,Ninjago
437,Pharaoh's Quest
438,Power Functions
439,Power Miners
440,Primo
441,Quatro
442,Rock Raiders
443,Service Packs
444,Service Packs
445,Service Packs
446,Service Packs
447,Service Packs
448,Service Packs
449,Service Packs
450,Service Packs
451,Service Packs
452,Service Packs
453,Service Packs
454,Service Packs
455,Service Packs
456,Service Packs
457,Service Packs
458,Sports
459,Sports
460,Sports
461,Sports
462,Sports
463,Spybiotics
464,Time Cruisers
465,Universal Building Set
466,Universal Building Set
467,Universal Building Set
468,Universal Building Set
469,Universal Building Set
470,Universal Building Set
471,Universal Building Set
472,Universal Building Set
473,Universal Building Set
474,Vikings
475,Western
476,Western
477,Western
478,X-Pod
480,Znap
481,Dino
494,Friends
497,Books
498,Books
499,Books
500,Clikits
501,Gear
502,Gear
503,Gear
504,Duplo
505,Duplo
506,Duplo
507,Educational and Dacta
509,Educational and Dacta
510,Educational and Dacta
511,Educational and Dacta
512,Educational and Dacta
513,Educational and Dacta
514,Educational and Dacta
515,Educational and Dacta
516,Educational and Dacta
517,Educational and Dacta
518,Educational and Dacta
519,Educational and Dacta
520,Educational and Dacta
521,Educational and Dacta
523,Educational and Dacta
524,Educational and Dacta
525,Educational and Dacta
526,Educational and Dacta
527,Educational and Dacta
528,Educational and Dacta
529,Educational and Dacta
530,Educational and Dacta
531,Educational and Dacta
532,Educational and Dacta
533,Educational and Dacta
534,Educational and Dacta
535,Collectible Minifigures
536,Collectible Minifigures
537,Collectible Minifigures
538,Collectible Minifigures
539,Collectible Minifigures
540,Collectible Minifigures
541,Collectible Minifigures
542,Collectible Minifigures
543,Collectible Minifigures
544,Collectible Minifigures
545,Collectible Minifigures
546,Collectible Minifigures
547,Collectible Minifigures
548,Collectible Minifigures
549,Collectible Minifigures
550,Collectible Minifigures
551,Collectible Minifigures
552,Collectible Minifigures
553,Collectible Minifigures
554,Collectible Minifigures
555,Collectible Minifigures
556,Collectible Minifigures
557,Collectible Minifigures
558,Monster Fighters
559,Value Packs
560,Universe
561,The Hobbit and Lord of the Rings
562,The Hobbit and Lord of the Rings
566,The Hobbit and Lord of the Rings
570,Teenage Mutant Ninja Turtles
571,Legends of Chima
572,Legends of Chima
573,Legends of Chima
574,Legends of Chima
575,The Lone Ranger
576,LEGO Ideas and CUUSOO
577,Minecraft
578,The LEGO Movie
579,Disney Princess
580,Mixels
581,Mixels
582,Mixels
583,Mixels
584,Mixels
585,Mixels
586,Mixels
587,Mixels
588,Mixels
589,Mixels
590,Fusion
591,Juniors
592,Juniors
593,Juniors
595,Juniors
596,Juniors
597,Juniors
598,Promotional
599,LEGO Exclusive
600,Elves
601,Speed Champions
602,Jurassic World
603,Scooby-Doo
604,Dimensions
605,Nexo Knights
606,Angry Birds
607,Ghostbusters
608,Disney
609,Collectible Minifigures
610,Brickheadz
611,Collectible Minifigures
614,Town
615,Juniors
616,Ninjago
617,DC Super Hero Girls
618,Collectible Minifigures
619,LEGO Brand Store
620,Juniors
621,Classic
622,Collectible Minifigures
625,Unikitty!
626,Duplo
627,Duplo
628,Duplo
629,Duplo
630,Duplo
631,Duplo
632,Duplo
633,Duplo
634,Duplo
635,Duplo
636,Duplo
638,Duplo
639,Duplo
640,Duplo
641,Duplo
646,Xtra
647,Duplo
648,Duplo
650,Duplo
651,Duplo
652,Duplo
653,Duplo
654,The Powerpuff Girls
655,Power Functions
656,Collectible Minifigures
657,Duplo
658,Duplo
659,Duplo
660,Duplo
661,Duplo
662,Duplo
663,Duplo
664,Duplo
665,Duplo
666,Duplo
667,Harry Potter
668,Scala
669,Overwatch
670,The LEGO Movie
671,Forma
672,Creator
673,Creator
674,Creator
675,Collectible Minifigures
676,Hidden Side
677,Collectible Minifigures
679,Town
680,Stranger Things
681,Collectible Minifigures
682,Trolls: World Tour
683,LEGO Originals
684,Collectible Minifigures
685,Galidor
686,Chinese Traditional Festivals
687,Disney
688,DOTS
689,Minions
690,Super Mario
691,Collectible Minifigures
692,Collectible Minifigures
693,Monkie Kid
694,Brick Sketches
695,Super Heroes DC
696,Super Heroes Marvel
697,Super Heroes DC
698,Super Heroes DC
699,Super Heroes DC
700,Super Heroes DC
701,Super Heroes DC
702,Super Heroes Marvel
703,Super Heroes Marvel
704,Super Heroes Marvel
705,Super Heroes Marvel
706,Super Heroes Marvel
707,Super Heroes Marvel
708,Super Heroes DC
709,LEGO Art
710,Seasonal
711,Collectible Minifigures
712,Collectible Minifigures
713,VIDIYO
