colour_id,rgb,colour
209,#907450,Modulex Brown
208,#958A73,Dark Tan
207,#898788,Flat Silver
206,#9C9C9C,Modulex Light Gray
205,#9C9C9C,Modulex Foil Light Gray
204,#9CA3A8,Pearl Light Gray
203,#A0A5A9,Light Bluish Gray
202,#ABADAC,Pearl Very Light Gray
201,#9BA19D,Light Gray
312,#6B5A5A,Modulex Tile Gray
311,#4D4C52,Modulex Black
310,#575857,Pearl Dark Gray
309,#595D60,Modulex Foil Dark Gray
308,#595D60,Modulex Charcoal Gray
307,#6C6E68,Speckle DBGray-Silver
306,#6C6E68,Dark Bluish Gray
305,#6D6E5C,Dark Gray
304,#635F52,Trans-Black
303,#635F52,Trans-Black IR Lens
302,#645A4C,Chrome Antique Brass
301,#5C5030,Modulex Terracotta
412,#4B0082,Modulex Foil Violet
411,#0020A0,Trans-Dark Blue
410,#0033B2,[Unknown]
409,#2032B0,Dark Blue-Violet
408,#3F3691,Dark Purple
407,#0A3463,Dark Blue
406,#1B2A34,Chrome Black
405,#05131D,Black
404,#05131D,Speckle Black-Gold
403,#05131D,Speckle Black-Silver
402,#05131D,[No Color/Any Color]
401,#05131D,Speckle Black-Copper
515,#61AFFF,Modulex Medium Blue
514,#5A93DB,Medium Blue
513,#6C96BF,Chrome Blue
512,#3592C3,Maersk Blue
511,#078BC9,Dark Azure
510,#467083,Modulex Teal Blue
509,#0057A6,Modulex Tile Blue
508,#0057A6,Modulex Foil Dark Blue
507,#0055BF,Blue
506,#4354A3,Violet
505,#4C61DB,Royal Blue
504,#6874CA,Blue-Violet
503,#6074A1,Sand Blue
502,#7988A1,Metal Blue
501,#9391E4,Medium Violet
611,#27867E,Modulex Aqua Green
610,#008F9B,Dark Turquoise
609,#039CBD,Vintage Blue
608,#55A5AF,Light Turquoise
607,#36AEBF,Medium Azure
606,#68BCC5,Glitter Trans-Light Blue
605,#68BCC5,Trans-Blue Opal
604,#5AC4DA,Pastel Blue
603,#7DBFDD,Sky Blue
602,#68AECE,Modulex Foil Light Blue
601,#68AECE,Modulex Pastel Blue
829,#AEEFEC,Trans-Light Blue
828,#B3D7D1,Aqua
827,#ADC3C0,Light Aqua
826,#A0BCAC,Sand Green
825,#BDC6AD,Glow In Dark Trans
824,#C2DAB8,Light Green
823,#D9E4A7,Light Lime
822,#D9E4A7,Trans-Bright Green
821,#DFEEA5,Yellowish Green
820,#C9E788,Trans-Light Bright Green
819,#F8F184,Trans-Neon Green
818,#FBE890,Trans-Fire Yellow
817,#FBE696,Light Yellow
816,#FFE371,Modulex Light Yellow
815,#FFF03A,Bright Light Yellow
814,#C0F500,Glitter Trans-Neon Green
813,#BBE90B,Lime
812,#C7D23C,Medium Lime
811,#BDC618,Modulex Lemon
810,#7DB538,Modulex Foil Light Green
809,#7DB538,Modulex Pastel Green
808,#9B9A5A,Olive Green
807,#899B5F,Metallic Green
806,#7C9051,Modulex Olive Green
805,#4B9F4A,Bright Green
804,#3CB371,Chrome Green
