set,name,year,num_parts,price,theme
10224-1,Town Hall,2012,2772,199.99,Modular Buildings
10225-1,R2-D2,2012,2127,179.99,Star Wars
10226-1,Sopwith Camel,2012,879,99.99,Creator
10227-1,B-wing Starfighter,2012,1487,199.99,Star Wars
10230-1,Mini Modulars,2012,1356,79.99,Modular Buildings
10232-1,Palace Cinema,2013,2194,149.99,Modular Buildings
10233-1,Horizon Express,2013,1351,129.99,Creator
10234-1,Sydney Opera House,2013,2989,319.99,Creator
10236-1,Ewok Village,2013,1990,249.99,Star Wars
10240-1,Red Five X-Wing Starfighter,2013,1558,199.99,Star Wars
10241-1,Maersk Line Triple-E,2014,1518,149.99,Creator
10242-1,MINI Cooper,2014,1077,99.99,Creator
10242-2,MINI Cooper (Late 2015 Re-Issue),2015,1077,NA,Creator
10243-1,Parisian Restaurant,2014,2470,159.99,Modular Buildings
10244-1,Fairground Mixer,2014,1745,149.99,Creator
10246-1,Detective’s Office,2015,2262,159.99,Modular Buildings
10247-1,Ferris Wheel,2015,2464,199.99,Creator
10248-1,Ferrari F40,2015,1158,99.99,Creator
10251-1,Brick Bank,2016,2384,169.99,Modular Buildings
10252-1,Volkswagen Beetle,2016,1167,99.99,Creator
10253-1,Big Ben,2016,4167,249.99,Creator
10255-1,Assembly Square,2017,4002,279.99,Modular Buildings
10256-1,Taj Mahal,2017,5923,369.99,Creator
10257-1,Carousel,2017,2670,199.99,Creator
10258-1,London Bus,2017,1686,139.99,Creator
10260-1,Downtown Diner,2018,2480,169.99,Modular Buildings
10261-1,Roller Coaster,2018,4124,379.99,Creator
10262-1,James Bond Aston Martin DB5,2018,1297,149.99,Creator
10264-1,Corner Garage,2019,2569,199.99,Modular Buildings
10265-1,Ford Mustang,2019,1471,149.99,Creator
10266-1,NASA Apollo 11 Lunar Lander,2019,1087,99.99,Creator
10268-1,Vestas Wind Turbine,2018,834,199.99,Creator
10269-1,Harley-Davidson Fat Boy,2019,1023,99.99,Creator
10270-1,Bookshop,2020,2504,179.99,Modular Buildings
10271-1,Fiat 500,2020,960,89.99,Creator
10272-1,Old Trafford - Manchester United,2020,3898,299.99,Creator
10273-1,Haunted House,2020,3232,249.99,Creator
10276-1,Colosseum,2020,9036,549.99,Creator
10277-1,Crocodile Locomotive,2020,1279,99.99,Creator
10278-1,Police Station,2021,2924,199.99,Modular Buildings
10280-1,Flower Bouquet,2021,756,49.99,Creator
10281-1,Bonsai,2021,878,49.99,Creator
10655-1,Monster Trucks,2013,197,19.99,Creator
10656-1,My First LEGO Princess,2013,88,9.99,Creator
10657-1,My First LEGO Set,2013,148,14.99,Creator
10659-1,Blue Suitcase,2013,152,24.99,Creator
10660-1,Pink Suitcase,2013,157,24.99,Creator
