school,long,lat,x,y
Te Kura o Te Kao,172.965948,-34.654712,1596879.7022457172,6165246.445356902
Taipa Area School,173.464302,-34.994709,1642371.2127858659,6127445.227411663
Kaitaia College,173.2587,-35.121322,1623571.9338320754,6113472.036651628
Whangaroa College,173.78695,-35.100861,1671723.0323376113,6115488.503729057
Kerikeri High School,173.955389,-35.228354,1686939.2932591673,6101214.728826866
Broadwood Area School,173.39499,-35.261248,1635928.6538992452,6097913.403846549
Okaihau College,173.765764,-35.323759,1669601.5741381308,6090783.394992885
Bay of Islands College,174.075901,-35.379502,1697724.215431652,6084339.007417304
Northland College,173.809917,-35.413889,1673533.0055402475,6080755.469419279
Te Kura Taumata o Panguru,173.383068,-35.380527,1634793.078141004,6084689.266164487
Opononi Area School,173.390212,-35.528555,1635377.0962998942,6068269.627578864
Tauraroa Area School,174.218169,-35.873069,1709968.9622632042,6029444.7998794215
Te Kamo High School,174.302813,-35.684394,1717888.7805610935,6050274.04120356
Tikipunga High School,174.328317,-35.683559,1720197.968028789,6050335.741069028
Whangārei Boys' High School,174.318379,-35.716116,1719250.1409971933,6046736.685454252
Whangārei Girls' High School,174.31955,-35.713289,1719360.2827773765,6047048.829138753
Pompallier Catholic College,174.275713,-35.744864,1715349.2362279259,6043599.013933028
Mangakahia Area School,174.058779,-35.732278,1695748.4694561986,6045228.48222287
Dargaville High School,173.868056,-35.931691,1678304.178641283,6023279.869698289
Bream Bay College,174.455784,-35.876079,1731415.7810109197,6028817.535838474
Otamatea High School,174.365259,-36.117231,1722868.7562463728,6002185.827696174
Ruawai College,174.011673,-36.122571,1691039.8336418709,6001982.643170397
Rodney College,174.520831,-36.28816,1736573.3384458118,5983016.712299873
Mahurangi College,174.655544,-36.406517,1748446.865359229,5969688.250722669
Orewa College,174.689747,-36.591698,1751153.511339145,5949091.459921878
Kaipara College,174.459138,-36.680156,1730374.1994515576,5939616.224573075
Long Bay College,174.738757,-36.691395,1755337.624179158,5937952.715786781
Rangitoto College,174.736684,-36.737197,1755060.3032024684,5932874.681437021
Kristin School,174.692243,-36.742989,1751080.6848068403,5932303.150439191
Glenfield College,174.714953,-36.779801,1753035.187298345,5928183.038552992
Birkenhead College,174.701151,-36.799175,1751765.2209312303,5926055.615811186
Northcote College,174.733677,-36.808881,1754647.6955251282,5924926.671423923
Carmel College,174.756742,-36.779176,1756765.864865587,5928184.707715388
Takapuna Grammar School,174.788477,-36.800616,1759553.5708646567,5925753.57361491
Westlake Boys High School,174.749491,-36.777366,1756122.4242127128,5928397.374848414
Westlake Girls' High School,174.752309,-36.782458,1756363.5734328823,5927827.845442636
Rosmini College,174.760146,-36.792443,1757042.5680972135,5926707.227192842
Rutherford College,174.646309,-36.85259,1746770.108543408,5920215.240012325
Macleans College,174.914424,-36.882722,1770608.1302081738,5916426.495459523
Green Bay High School,174.669395,-36.93095,1748676.3112613014,5911485.899333237
Massey High School,174.601693,-36.84188,1742812.1738420438,5921471.076533884
Waitakere College,174.620712,-36.867097,1744460.61977725,5918644.821184779
Henderson High School,174.628205,-36.883656,1745097.215634211,5916796.34191031
Liston College,174.623159,-36.866064,1744680.6956578759,5918755.720030689
