Date,DayType,Cyclist,Pedestrian
2020-06-01,Weekday,125,521
2020-06-02,Weekday,341,671
2020-06-03,Weekday,413,807
2020-06-04,Weekday,189,347
2020-06-05,Weekday,254,606
2020-06-06,Weekend,270,1092
2020-06-07,Weekend,442,1468
2020-06-08,Weekday,360,745
2020-06-09,Weekday,470,823
2020-06-10,Weekday,462,781
2020-06-11,Weekday,298,449
2020-06-12,Weekday,151,201
2020-06-13,Weekend,442,1365
2020-06-14,Weekend,581,1716
2020-06-15,Weekday,427,718
2020-06-16,Weekday,470,660
2020-06-17,Weekday,400,690
2020-06-18,Weekday,145,227
2020-06-19,Weekday,280,531
2020-06-20,Weekend,440,1375
2020-06-21,Weekend,313,1100
2020-06-22,Weekday,507,742
2020-06-23,Weekday,534,900
2020-06-24,Weekday,491,706
2020-06-25,Weekday,274,401
2020-06-26,Weekday,292,501
2020-06-27,Weekend,209,780
2020-06-28,Weekend,514,1398
2020-06-29,Weekday,366,531
2020-06-30,Weekday,373,456
2020-07-01,Weekday,371,446
2020-07-02,Weekday,293,443
2020-07-03,Weekday,361,595
2020-07-04,Weekend,305,1034
2020-07-05,Weekend,448,1765
2020-07-06,Weekday,295,722
2020-07-07,Weekday,166,441
2020-07-08,Weekday,172,445
2020-07-09,Weekday,399,844
2020-07-10,Weekday,444,765
2020-07-11,Weekend,319,1131
2020-07-12,Weekend,169,808
2020-07-13,Weekday,346,690
2020-07-14,Weekday,565,1141
2020-07-15,Weekday,359,660
2020-07-16,Weekday,370,430
2020-07-17,Weekday,263,481
2020-07-18,Weekend,206,773
2020-07-19,Weekend,408,1429
2020-07-20,Weekday,541,858
2020-07-21,Weekday,312,343
2020-07-22,Weekday,341,588
2020-07-23,Weekday,308,468
2020-07-24,Weekday,469,673
2020-07-25,Weekend,387,1439
2020-07-26,Weekend,631,1844
2020-07-27,Weekday,601,976
2020-07-28,Weekday,465,640
2020-07-29,Weekday,567,739
2020-07-30,Weekday,544,853
2020-07-31,Weekday,402,919
2020-08-01,Weekend,376,1264
2020-08-02,Weekend,509,1563
2020-08-03,Weekday,508,910
2020-08-04,Weekday,528,1021
2020-08-05,Weekday,454,738
2020-08-06,Weekday,520,936
2020-08-07,Weekday,298,623
2020-08-08,Weekend,316,1081
2020-08-09,Weekend,314,1141
2020-08-10,Weekday,414,689
2020-08-11,Weekday,490,572
2020-08-12,Weekday,262,438
2020-08-13,Weekday,416,725
2020-08-14,Weekday,375,774
2020-08-15,Weekend,553,1933
2020-08-16,Weekend,510,1762
2020-08-17,Weekday,596,1079
2020-08-18,Weekday,512,914
2020-08-19,Weekday,289,403
2020-08-20,Weekday,311,506
2020-08-21,Weekday,220,358
2020-08-22,Weekend,374,1365
2020-08-23,Weekend,619,1701
2020-08-24,Weekday,254,506
2020-08-25,Weekday,395,727
2020-08-26,Weekday,407,751
2020-08-27,Weekday,220,423
2020-08-28,Weekday,393,674
2020-08-29,Weekend,295,1262
2020-08-30,Weekend,333,1035
2020-08-31,Weekday,332,549
2020-09-01,Weekday,391,681
2020-09-02,Weekday,198,316
2020-09-03,Weekday,445,918
2020-09-04,Weekday,436,944
2020-09-05,Weekend,258,1145
2020-09-06,Weekend,315,1173
2020-09-07,Weekday,447,922
2020-09-08,Weekday,601,1040
2020-09-09,Weekday,384,470
2020-09-10,Weekday,239,451
2020-09-11,Weekday,329,524
2020-09-12,Weekend,475,1962
2020-09-13,Weekend,177,757
2020-09-14,Weekday,189,373
2020-09-15,Weekday,55,84
2020-09-16,Weekday,414,650
2020-09-17,Weekday,283,370
2020-09-18,Weekday,101,459
2020-09-19,Weekend,321,1211
2020-09-20,Weekend,810,2608
2020-09-21,Weekday,553,1184
2020-09-22,Weekday,477,715
2020-09-23,Weekday,367,515
2020-09-24,Weekday,278,386
2020-09-25,Weekday,363,653
2020-09-26,Weekend,457,1633
2020-09-27,Weekend,78,566
2020-09-28,Weekday,203,436
2020-09-29,Weekday,171,544
2020-09-30,Weekday,610,1417
2020-10-01,Weekday,567,1207
2020-10-02,Weekday,473,1036
2020-10-03,Weekend,424,1503
2020-10-04,Weekend,406,1982
2020-10-05,Weekday,578,1296
2020-10-06,Weekday,451,763
2020-10-07,Weekday,343,980
2020-10-08,Weekday,432,997
2020-10-09,Weekday,462,999
2020-10-10,Weekend,527,1617
2020-10-11,Weekend,514,1512
2020-10-12,Weekday,289,391
2020-10-13,Weekday,384,772
2020-10-14,Weekday,460,564
2020-10-15,Weekday,336,517
2020-10-16,Weekday,460,871
2020-10-17,Weekend,357,1063
2020-10-18,Weekend,572,1509
2020-10-19,Weekday,452,484
2020-10-20,Weekday,407,655
2020-10-21,Weekday,492,828
2020-10-22,Weekday,512,827
2020-10-23,Weekday,459,1021
2020-10-24,Weekend,422,1780
2020-10-25,Weekend,393,1829
2020-10-26,Weekday,424,1709
2020-10-27,Weekday,226,263
2020-10-28,Weekday,349,666
2020-10-29,Weekday,350,540
2020-10-30,Weekday,434,866
2020-10-31,Weekend,334,1079
2020-11-01,Weekend,257,1089
2020-11-02,Weekday,469,736
2020-11-03,Weekday,384,549
2020-11-04,Weekday,533,929
2020-11-05,Weekday,456,587
2020-11-06,Weekday,270,1075
2020-11-07,Weekend,303,1159
2020-11-08,Weekend,246,1029
2020-11-09,Weekday,251,334
2020-11-10,Weekday,328,574
2020-11-11,Weekday,362,755
2020-11-12,Weekday,499,921
2020-11-13,Weekday,443,862
2020-11-14,Weekend,304,1109
2020-11-15,Weekend,369,1429
2020-11-16,Weekday,461,799
2020-11-17,Weekday,564,865
2020-11-18,Weekday,379,501
2020-11-19,Weekday,516,1393
2020-11-20,Weekday,446,853
2020-11-21,Weekend,233,906
2020-11-22,Weekend,219,807
2020-11-23,Weekday,533,795
2020-11-24,Weekday,541,858
2020-11-25,Weekday,95,282
2020-11-26,Weekday,248,444
2020-11-27,Weekday,284,474
2020-11-28,Weekend,451,1304
2020-11-29,Weekend,135,697
2020-11-30,Weekday,447,542
2020-12-01,Weekday,331,684
2020-12-02,Weekday,488,875
2020-12-03,Weekday,306,659
2020-12-04,Weekday,322,576
2020-12-05,Weekend,175,873
2020-12-06,Weekend,387,1075
2020-12-07,Weekday,185,388
2020-12-08,Weekday,170,354
2020-12-09,Weekday,185,413
2020-12-10,Weekday,346,632
2020-12-11,Weekday,296,389
2020-12-12,Weekend,156,862
2020-12-13,Weekend,354,1154
2020-12-14,Weekday,579,835
2020-12-15,Weekday,520,873
2020-12-16,Weekday,327,672
2020-12-17,Weekday,438,826
2020-12-18,Weekday,374,649
2020-12-19,Weekend,260,1057
2020-12-20,Weekend,387,1265
2020-12-21,Weekday,368,736
2020-12-22,Weekday,274,605
2020-12-23,Weekday,101,315
2020-12-24,Weekday,87,546
2020-12-25,Weekday,253,1327
2020-12-26,Weekend,348,1552
2020-12-27,Weekend,243,1280
2020-12-28,Weekday,460,1596
2020-12-29,Weekday,413,1402
2020-12-30,Weekday,405,1282
2020-12-31,Weekday,338,1107
2021-01-01,Weekday,478,1692
2021-01-02,Weekend,430,1556
2021-01-03,Weekend,265,932
2021-01-04,Weekday,443,1682
2021-01-05,Weekday,387,1186
2021-01-06,Weekday,472,1147
2021-01-07,Weekday,376,988
2021-01-08,Weekday,380,1116
2021-01-09,Weekend,452,1348
2021-01-10,Weekend,440,1320
2021-01-11,Weekday,586,965
2021-01-12,Weekday,631,1145
2021-01-13,Weekday,608,990
2021-01-14,Weekday,594,962
2021-01-15,Weekday,481,933
2021-01-16,Weekend,428,1373
2021-01-17,Weekend,366,1112
2021-01-18,Weekday,349,611
2021-01-19,Weekday,142,603
2021-01-20,Weekday,168,461
2021-01-21,Weekday,222,502
2021-01-22,Weekday,440,940
2021-01-23,Weekend,224,862
2021-01-24,Weekend,227,1201
2021-01-25,Weekday,455,1403
2021-01-26,Weekday,571,969
2021-01-27,Weekday,594,906
2021-01-28,Weekday,359,647
2021-01-29,Weekday,468,836
2021-01-30,Weekend,429,1454
2021-01-31,Weekend,515,1684
2021-02-01,Weekday,624,1004
2021-02-02,Weekday,601,875
2021-02-03,Weekday,554,910
2021-02-04,Weekday,501,728
2021-02-05,Weekday,429,735
2021-02-06,Weekend,315,1117
2021-02-07,Weekend,497,1661
2021-02-08,Weekday,468,1404
2021-02-09,Weekday,614,837
2021-02-10,Weekday,383,549
2021-02-11,Weekday,462,811
2021-02-12,Weekday,559,750
2021-02-13,Weekend,422,1217
2021-02-14,Weekend,509,1469
2021-02-15,Weekday,402,528
2021-02-16,Weekday,219,539
2021-02-17,Weekday,424,676
2021-02-18,Weekday,538,936
2021-02-19,Weekday,510,950
2021-02-20,Weekend,407,1285
2021-02-21,Weekend,505,1540
2021-02-22,Weekday,590,914
2021-02-23,Weekday,672,916
2021-02-24,Weekday,572,841
2021-02-25,Weekday,602,810
2021-02-26,Weekday,571,788
2021-02-27,Weekend,301,1109
2021-02-28,Weekend,513,1306
2021-03-01,Weekday,629,764
2021-03-02,Weekday,598,853
2021-03-03,Weekday,487,762
2021-03-04,Weekday,345,618
2021-03-05,Weekday,457,940
2021-03-06,Weekend,365,1067
2021-03-07,Weekend,250,829
2021-03-08,Weekday,506,881
2021-03-09,Weekday,607,736
2021-03-10,Weekday,393,568
2021-03-11,Weekday,188,368
2021-03-12,Weekday,483,713
2021-03-13,Weekend,284,1021
2021-03-14,Weekend,552,1380
2021-03-15,Weekday,515,795
2021-03-16,Weekday,423,569
2021-03-17,Weekday,534,727
2021-03-18,Weekday,490,688
2021-03-19,Weekday,485,844
2021-03-20,Weekend,350,975
2021-03-21,Weekend,419,1189
2021-03-22,Weekday,414,683
2021-03-23,Weekday,413,848
2021-03-24,Weekday,386,678
2021-03-25,Weekday,369,623
2021-03-26,Weekday,380,774
2021-03-27,Weekend,306,1136
2021-03-28,Weekend,384,1227
