Date,Mode,Direction,Count
2020-07-31,Pedestrian,To Massey,533
2020-07-31,Pedestrian,To City,386
2020-07-31,Cyclist,To Massey,217
2020-07-31,Cyclist,To City,185
2020-08-01,Pedestrian,To Massey,757
2020-08-01,Pedestrian,To City,507
2020-08-01,Cyclist,To Massey,198
2020-08-01,Cyclist,To City,178
2020-08-02,Pedestrian,To Massey,935
2020-08-02,Pedestrian,To City,628
2020-08-02,Cyclist,To Massey,270
2020-08-02,Cyclist,To City,239
2020-08-03,Pedestrian,To Massey,583
2020-08-03,Pedestrian,To City,327
2020-08-03,Cyclist,To Massey,259
2020-08-03,Cyclist,To City,249
2020-08-04,Pedestrian,To Massey,572
2020-08-04,Pedestrian,To City,449
2020-08-04,Cyclist,To Massey,274
2020-08-04,Cyclist,To City,254
2020-08-05,Pedestrian,To Massey,437
2020-08-05,Pedestrian,To City,301
2020-08-05,Cyclist,To Massey,231
2020-08-05,Cyclist,To City,223
2020-08-06,Pedestrian,To Massey,552
2020-08-06,Pedestrian,To City,384
2020-08-06,Cyclist,To Massey,277
2020-08-06,Cyclist,To City,243
2020-08-07,Pedestrian,To Massey,379
2020-08-07,Pedestrian,To City,244
2020-08-07,Cyclist,To Massey,154
2020-08-07,Cyclist,To City,144
2020-08-08,Pedestrian,To Massey,606
2020-08-08,Pedestrian,To City,475
2020-08-08,Cyclist,To Massey,162
2020-08-08,Cyclist,To City,154
2020-08-09,Pedestrian,To Massey,675
2020-08-09,Pedestrian,To City,466
2020-08-09,Cyclist,To Massey,161
2020-08-09,Cyclist,To City,153
2020-08-10,Pedestrian,To Massey,427
2020-08-10,Pedestrian,To City,262
2020-08-10,Cyclist,To Massey,216
2020-08-10,Cyclist,To City,198
2020-08-11,Pedestrian,To Massey,354
2020-08-11,Pedestrian,To City,218
2020-08-11,Cyclist,To Massey,255
2020-08-11,Cyclist,To City,235
2020-08-12,Pedestrian,To Massey,252
2020-08-12,Pedestrian,To City,186
2020-08-12,Cyclist,To Massey,139
2020-08-12,Cyclist,To City,123
2020-08-13,Pedestrian,To Massey,438
2020-08-13,Pedestrian,To City,287
2020-08-13,Cyclist,To Massey,213
2020-08-13,Cyclist,To City,203
2020-08-14,Pedestrian,To Massey,464
2020-08-14,Pedestrian,To City,310
2020-08-14,Cyclist,To Massey,184
2020-08-14,Cyclist,To City,191
2020-08-15,Pedestrian,To Massey,1139
2020-08-15,Pedestrian,To City,794
2020-08-15,Cyclist,To Massey,283
2020-08-15,Cyclist,To City,270
2020-08-16,Pedestrian,To Massey,1028
2020-08-16,Pedestrian,To City,734
2020-08-16,Cyclist,To Massey,269
2020-08-16,Cyclist,To City,241
2020-08-17,Pedestrian,To Massey,688
2020-08-17,Pedestrian,To City,391
2020-08-17,Cyclist,To Massey,306
2020-08-17,Cyclist,To City,290
2020-08-18,Pedestrian,To Massey,535
2020-08-18,Pedestrian,To City,379
2020-08-18,Cyclist,To Massey,269
2020-08-18,Cyclist,To City,243
2020-08-19,Pedestrian,To Massey,246
2020-08-19,Pedestrian,To City,157
2020-08-19,Cyclist,To Massey,148
2020-08-19,Cyclist,To City,141
2020-08-20,Pedestrian,To Massey,291
2020-08-20,Pedestrian,To City,215
2020-08-20,Cyclist,To Massey,167
2020-08-20,Cyclist,To City,144
2020-08-21,Pedestrian,To Massey,213
2020-08-21,Pedestrian,To City,145
2020-08-21,Cyclist,To Massey,115
2020-08-21,Cyclist,To City,105
2020-08-22,Pedestrian,To Massey,800
2020-08-22,Pedestrian,To City,565
2020-08-22,Cyclist,To Massey,194
2020-08-22,Cyclist,To City,180
2020-08-23,Pedestrian,To Massey,1032
2020-08-23,Pedestrian,To City,669
2020-08-23,Cyclist,To Massey,315
2020-08-23,Cyclist,To City,304
2020-08-24,Pedestrian,To Massey,292
2020-08-24,Pedestrian,To City,214
2020-08-24,Cyclist,To Massey,133
2020-08-24,Cyclist,To City,121
2020-08-25,Pedestrian,To Massey,430
2020-08-25,Pedestrian,To City,297
2020-08-25,Cyclist,To Massey,208
2020-08-25,Cyclist,To City,187
2020-08-26,Pedestrian,To Massey,449
2020-08-26,Pedestrian,To City,302
2020-08-26,Cyclist,To Massey,209
2020-08-26,Cyclist,To City,198
2020-08-27,Pedestrian,To Massey,233
2020-08-27,Pedestrian,To City,190
2020-08-27,Cyclist,To Massey,111
2020-08-27,Cyclist,To City,109
2020-08-28,Pedestrian,To Massey,401
2020-08-28,Pedestrian,To City,273
2020-08-28,Cyclist,To Massey,203
2020-08-28,Cyclist,To City,190
2020-08-29,Pedestrian,To Massey,720
2020-08-29,Pedestrian,To City,542
2020-08-29,Cyclist,To Massey,147
2020-08-29,Cyclist,To City,148
2020-08-30,Pedestrian,To Massey,641
2020-08-30,Pedestrian,To City,394
2020-08-30,Cyclist,To Massey,170
2020-08-30,Cyclist,To City,163
2020-08-31,Pedestrian,To Massey,331
2020-08-31,Pedestrian,To City,218
2020-08-31,Cyclist,To Massey,164
2020-08-31,Cyclist,To City,168
2020-09-01,Pedestrian,To Massey,397
2020-09-01,Pedestrian,To City,284
2020-09-01,Cyclist,To Massey,190
2020-09-01,Cyclist,To City,201
2020-09-02,Pedestrian,To Massey,186
2020-09-02,Pedestrian,To City,130
2020-09-02,Cyclist,To Massey,106
2020-09-02,Cyclist,To City,92
2020-09-03,Pedestrian,To Massey,527
2020-09-03,Pedestrian,To City,391
2020-09-03,Cyclist,To Massey,219
2020-09-03,Cyclist,To City,226
2020-09-04,Pedestrian,To Massey,569
2020-09-04,Pedestrian,To City,375
2020-09-04,Cyclist,To Massey,224
2020-09-04,Cyclist,To City,212
2020-09-05,Pedestrian,To Massey,676
2020-09-05,Pedestrian,To City,469
2020-09-05,Cyclist,To Massey,125
2020-09-05,Cyclist,To City,133
2020-09-06,Pedestrian,To Massey,708
2020-09-06,Pedestrian,To City,465
2020-09-06,Cyclist,To Massey,155
2020-09-06,Cyclist,To City,160
2020-09-07,Pedestrian,To Massey,545
2020-09-07,Pedestrian,To City,377
2020-09-07,Cyclist,To Massey,223
2020-09-07,Cyclist,To City,224
2020-09-08,Pedestrian,To Massey,625
2020-09-08,Pedestrian,To City,415
2020-09-08,Cyclist,To Massey,301
2020-09-08,Cyclist,To City,300
2020-09-09,Pedestrian,To Massey,273
2020-09-09,Pedestrian,To City,197
2020-09-09,Cyclist,To Massey,193
2020-09-09,Cyclist,To City,191
2020-09-10,Pedestrian,To Massey,272
2020-09-10,Pedestrian,To City,179
2020-09-10,Cyclist,To Massey,126
2020-09-10,Cyclist,To City,113
2020-09-11,Pedestrian,To Massey,302
2020-09-11,Pedestrian,To City,222
2020-09-11,Cyclist,To Massey,163
2020-09-11,Cyclist,To City,166
2020-09-12,Pedestrian,To Massey,1123
2020-09-12,Pedestrian,To City,839
2020-09-12,Cyclist,To Massey,239
2020-09-12,Cyclist,To City,236
2020-09-13,Pedestrian,To Massey,454
2020-09-13,Pedestrian,To City,303
2020-09-13,Cyclist,To Massey,79
2020-09-13,Cyclist,To City,98
2020-09-14,Pedestrian,To Massey,251
2020-09-14,Pedestrian,To City,122
2020-09-14,Cyclist,To Massey,144
2020-09-14,Cyclist,To City,45
2020-09-15,Pedestrian,To Massey,43
2020-09-15,Pedestrian,To City,41
2020-09-15,Cyclist,To Massey,6
2020-09-15,Cyclist,To City,49
2020-09-16,Pedestrian,To Massey,368
2020-09-16,Pedestrian,To City,282
2020-09-16,Cyclist,To Massey,208
2020-09-16,Cyclist,To City,206
2020-09-17,Pedestrian,To Massey,220
2020-09-17,Pedestrian,To City,150
2020-09-17,Cyclist,To Massey,155
2020-09-17,Cyclist,To City,128
2020-09-18,Pedestrian,To Massey,263
2020-09-18,Pedestrian,To City,196
2020-09-18,Cyclist,To Massey,46
2020-09-18,Cyclist,To City,55
2020-09-19,Pedestrian,To Massey,709
