School,EthnicGroup,Level,Students
A1 Student Limited,European,Year 10,1
A1 Student Limited,European,Year 11,1
A1 Student Limited,European,Year 4,2
A1 Student Limited,Asian,Year 5,1
A1 Student Limited,European,Year 5,2
A1 Student Limited,European,Year 7,5
A1 Student Limited,Asian,Year 8,3
A1 Student Limited,European,Year 8,4
A1 Student Limited,European,Year 9,3
ACG Parnell College,Asian,Year 1,27
ACG Parnell College,European,Year 1,2
ACG Parnell College,Pacific,Year 10,3
ACG Parnell College,Asian,Year 10,132
ACG Parnell College,MELAA,Year 10,1
ACG Parnell College,Other,Year 10,1
ACG Parnell College,European,Year 10,31
ACG Parnell College,International fee paying,Year 10,13
ACG Parnell College,Māori,Year 11,1
ACG Parnell College,Asian,Year 11,173
ACG Parnell College,MELAA,Year 11,4
ACG Parnell College,Other,Year 11,2
ACG Parnell College,European,Year 11,30
ACG Parnell College,International fee paying,Year 11,15
ACG Parnell College,Asian,Year 12,135
ACG Parnell College,MELAA,Year 12,1
ACG Parnell College,Other,Year 12,1
ACG Parnell College,European,Year 12,35
ACG Parnell College,International fee paying,Year 12,23
ACG Parnell College,Māori,Year 13,1
ACG Parnell College,Pacific,Year 13,1
ACG Parnell College,Asian,Year 13,80
ACG Parnell College,MELAA,Year 13,3
ACG Parnell College,Other,Year 13,1
ACG Parnell College,European,Year 13,30
ACG Parnell College,International fee paying,Year 13,22
ACG Parnell College,Asian,Year 14,27
ACG Parnell College,Other,Year 14,2
ACG Parnell College,European,Year 14,5
ACG Parnell College,International fee paying,Year 14,13
ACG Parnell College,Asian,Year 15,1
ACG Parnell College,International fee paying,Year 15,1
ACG Parnell College,Asian,Year 2,48
ACG Parnell College,MELAA,Year 2,1
ACG Parnell College,European,Year 2,3
ACG Parnell College,Pacific,Year 3,1
ACG Parnell College,Asian,Year 3,35
ACG Parnell College,Other,Year 3,1
ACG Parnell College,European,Year 3,5
ACG Parnell College,International fee paying,Year 3,2
ACG Parnell College,Asian,Year 4,67
ACG Parnell College,MELAA,Year 4,1
ACG Parnell College,European,Year 4,4
ACG Parnell College,International fee paying,Year 4,1
ACG Parnell College,Asian,Year 5,54
ACG Parnell College,MELAA,Year 5,2
ACG Parnell College,Other,Year 5,3
ACG Parnell College,European,Year 5,4
ACG Parnell College,International fee paying,Year 5,3
ACG Parnell College,Asian,Year 6,68
ACG Parnell College,European,Year 6,6
ACG Parnell College,International fee paying,Year 6,2
ACG Parnell College,Māori,Year 7,2
ACG Parnell College,Asian,Year 7,152
ACG Parnell College,MELAA,Year 7,1
ACG Parnell College,Other,Year 7,2
ACG Parnell College,European,Year 7,16
ACG Parnell College,International fee paying,Year 7,2
ACG Parnell College,Māori,Year 8,1
ACG Parnell College,Asian,Year 8,139
ACG Parnell College,MELAA,Year 8,1
ACG Parnell College,Other,Year 8,3
ACG Parnell College,European,Year 8,29
ACG Parnell College,International fee paying,Year 8,7
ACG Parnell College,Pacific,Year 9,1
ACG Parnell College,Asian,Year 9,158
ACG Parnell College,MELAA,Year 9,4
ACG Parnell College,Other,Year 9,1
ACG Parnell College,European,Year 9,24
ACG Parnell College,International fee paying,Year 9,11
ACG Strathallan,Pacific,Year 1,3
ACG Strathallan,Asian,Year 1,47
ACG Strathallan,Other,Year 1,1
ACG Strathallan,European,Year 1,4
ACG Strathallan,Māori,Year 10,9
ACG Strathallan,Pacific,Year 10,4
ACG Strathallan,Asian,Year 10,43
ACG Strathallan,MELAA,Year 10,2
ACG Strathallan,European,Year 10,75
ACG Strathallan,International fee paying,Year 10,2
ACG Strathallan,Māori,Year 11,5
ACG Strathallan,Pacific,Year 11,2
ACG Strathallan,Asian,Year 11,43
ACG Strathallan,MELAA,Year 11,5
